Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,release height,RelX,RelZ,Chase%,Barrel%,Fly%,Ground%,BaU,Tilt,SpinDir,wOBA,Throws,4FB stuff+,85/15 perf scale velo scale stuff+,shape+ 4FB,general performance+,P,Vel,pvelo,HorzBrk,ABS horzBreak,IndVertBrk,Spin,HorzApprAngle,xVAA T1/3,VertApprAngle,Extension,InZone%,IZ Whiff,OZ Whiff,SwStrk%,perf multiplier velo scale stuff+,50/50 perf scale velo scale stuff+,pvelo scale stuff+ 4FB,fixed scale stuff+ 4FB (pre break),vel brk stuff+ 4FB,eno sarris stuff+ 4FB,outlier
1,1244473600,K. LaCalameto,Kyle LaCalameto,LaCalameto,Kyle,P,University of Houston,HOU,3030,Houston,BBC,L,L,71.85,21.0,71.8,20.5%,12.5%,26.7%,48.9%,25,10:52,146.0,.302,L,101.33,506.15,509.89,18.44%,281,92.2,91.24,-10.3,10.32,16.3,2272.8,1.00,-4.60,-4.95,5.89,48.0%,-,-,8.5%,94.01,98.48,504.84,281.16,1392.93,5093.63,399.58
1,1182673408,R. Hughes,Rob Hughes,Hughes,Rob,P,Clemson University,CLEM,730358784,Clemson,BBC,R,R,73.61,-10.9,73.6,22.1%,23.8%,38.1%,19.0%,23,12:39,-160.3,.493,R,91.43,456.68,455.18,17.72%,123,91.3,90.58,6.5,6.53,18.8,2092.1,-0.69,-4.82,-5.14,5.97,44.7%,-,-,8.9%,80.65,91.14,450.95,232.79,1368.82,4491.87,369.09
1,1335275008,B. King,Ben King,King,Ben,P,Georgia Tech,GT,100,Georgia Tech,BBC,R,R,65.11,-24.3,65.1,30.8%,33.3%,33.3%,33.3%,26,1:25,-137.7,.305,R,99.40,496.51,488.39,20.70%,24,89.6,87.89,11.2,11.23,13.6,2330.4,-1.62,-4.68,-5.34,5.45,45.8%,-,-,12.5%,101.11,102.13,479.22,269.78,1341.06,5076.08,408.63
1,1107178752,H. Oliver,Hambleton Oliver,Oliver,Hambleton,P,West Virginia University,WVU,5327,West Virginia,BBC,L,R,68.18,-32.8,68.2,8.0%,27.3%,33.3%,41.7%,24,1:09,-145.7,.288,R,98.74,493.20,468.63,24.23%,67,89.4,88.37,9.8,9.81,15.6,2136.6,-2.27,-4.77,-5.14,5.82,62.7%,-,-,11.9%,113.54,109.18,462.91,245.43,1340.40,5369.83,376.48
1,1112150528,R. Bogusz,Ryan Bogusz,Bogusz,Ryan,P,Oklahoma State University,OKST,4245,Oklahoma State,BBC,R,R,66.77,-33.5,66.8,6.1%,40.0%,40.0%,20.0%,25,1:17,-141.4,.294,R,101.68,507.87,521.73,16.26%,58,90.5,88.72,12.1,12.07,16.0,2259.8,-2.62,-4.54,-5.33,5.38,43.1%,-,-,6.9%,84.82,94.08,511.92,285.45,1391.63,5579.78,397.72
1,1088028160,E. Candelario,Erubiel Candelario,Candelario,Erubiel,P,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,66.93,-11.7,66.9,17.2%,80.0%,40.0%,0.0%,24,12:59,-150.7,.511,R,109.05,544.73,524.49,25.23%,43,92.0,91.73,9.1,9.05,17.1,2176.5,-0.15,-4.15,-4.48,6.25,32.6%,-,-,18.6%,132.32,117.36,522.87,302.83,1382.45,4618.46,383.22
1,1311366656,S. Hliboki,Sam Hliboki,Hliboki,Sam,P,Vanderbilt University,VAN,5046,Vanderbilt,BBC,L,R,63.03,-22.4,63.0,21.5%,20.8%,20.8%,37.5%,27,1:00,-150.0,.391,R,103.66,517.79,502.42,23.12%,152,88.2,88.07,8.9,8.94,16.4,2393.4,-1.32,-4.22,-4.67,6.34,57.2%,-,-,11.8%,116.18,109.74,501.72,287.37,1355.92,5010.46,418.83
1,1195496704,M. Marchal,Matthew Marchal,Marchal,Matthew,P,Clemson University,CLEM,730358784,Clemson,BBC,R,R,75.57,-11.8,75.6,19.1%,27.7%,26.5%,40.8%,24,12:33,-163.4,.403,R,90.50,452.05,447.73,18.17%,261,91.1,90.47,5.6,5.56,19.6,2196.9,-0.56,-4.89,-5.39,6.04,49.6%,-,-,7.7%,81.35,91.55,444.12,226.22,1380.19,4560.09,386.53
1,1312922624,J. Morales,Jordan Morales,Morales,Jordan,P,Purdue University,PUR,730353152,Purdue,BBC,R,L,60.62,22.8,60.6,23.1%,27.3%,40.4%,25.5%,26,10:49,144.6,.290,L,111.37,556.30,560.97,20.14%,262,88.2,86.82,-12.3,12.28,18.4,2286.9,0.83,-3.93,-4.27,5.60,55.3%,-,-,8.4%,112.98,107.97,553.20,316.84,1415.81,5212.31,401.82
1,1149537536,J. Peaden,Jacob Peaden,Peaden,Jacob,P,University of Missouri,MIZZ,4806,Missouri,BBC,R,R,70.69,-13.7,70.7,18.8%,19.6%,21.4%,46.4%,26,12:30,-165.1,.520,R,90.31,451.08,450.94,17.20%,275,90.7,90.90,4.4,4.44,17.6,2399.6,-0.74,-4.58,-5.41,6.55,51.6%,-,-,5.8%,77.58,89.40,452.22,252.10,1347.34,4532.25,419.74
